category,year,end year,content
cartography,-550,,"The first world map? (No extant copies, but described in books II and IV of Herodotus' ""Histories'' (Robinson:1968)"
cartography,-366,-335,"The first route map (""carte routière''), showing the whole of the Roman world, a map from Vienna, through Italy, to Carthage; painted on parchment, 34 cm. high, by 7 m. in length. (Named the table of Peutinger, after a 16th century German collector.)"
cartography,-240,,Calculation of the diameter of the earth by measuring noontime shadows at sites 800 km. apart
cartography,-170,,Invention of parchment. Parchment was superior to papyrus because it could be printed on both sides and folded.
cartography,-134,,"Measurement of the year with great accuracy and building of the first comprehensive star chart with 850 stars and a luminosity, or brightness, scale; discovery of the precision of the equinoxes"
cartography,-100,," The Antikythera Mechanism is a unique Greek geared device, constructed around the end of the second century bc. It is known that it calculated and displayed celestial information, particularly cycles such as the phases of the moon and a luni-solar calendar. "
cartography,0,,"This palaeolithic map from 13 660 calBP is one of the oldest maps to date. The map is an engraved stone from the cave of Abauntz and it demonstrates actual surrounding landscape, including  mountains, rivers, and ponds. Routes or  avenues of access are also engraved."
cartography,90,150,Map projections of a spherical earth and use of latitude and longitude to characterize position (first display of longitude)
cartography,105,,"Invention of paper, replacing (somewhat later) writing and other inscriptions on wood, cloth, stone, etc."
cartography,950,,"Earliest known attempt to show changing values graphically (positions of the sun, moon, and planets throughout the year)"
cartography,1280,,"Triangular diagrams of paired comparisons for electoral systems (how to elect a Pope or Mother Superior, when all the candidates are voting)"
cartography,1305,,"Mechanical diagrams of knowledge, as aids to reasoning (served as an inspiration to Leibnitz in the development of symbolic logic)"
cartography,1350,,"Proto-bar graph (of a theoretical function), and development of the logical relation between tabulating values, and graphing them (pre-dating Descartes). Oresme proposed the use of a graph for plotting a variable magnitude whose value depends on another, and, implicitly, the idea of a coordinate system"
cartography,1375,,"Catalan Atlas, an exquisitely beautiful visual cosmography, perpetual calendar, and thematic representation of the known world"
cartography,1450,,"Graphs of distance vs. speed, presumably of the theoretical relation"
cartography,1453,,"Invention of moveable type printing press, and printing of the Mazarin bible (leads to a decline in the use of mixed text and graphics)"
cartography,1500,,Use of rectangular coordinates to analyze velocity of falling objects
cartography,1530,,Theoretical description of how longitude may be determined using difference of times by a clock and the associated observed change in star positions (not implemented)
